date,cash_balance,total_equity,positions,daily_return
2023-01-03,10000.0,10000.0,{},0.0
2023-01-04,10000.0,10000.0,{},0.0
2023-01-05,10000.0,10000.0,{},0.0
2023-01-06,10000.0,10000.0,{},0.0
2023-01-09,10000.0,10000.0,{},0.0
2023-01-10,10000.0,10000.0,{},0.0
2023-01-11,10000.0,10000.0,{},0.0
2023-01-12,10000.0,10000.0,{},0.0
2023-01-13,10000.0,10000.0,{},0.0
2023-01-17,10000.0,10000.0,{},0.0
2023-01-18,10000.0,10000.0,{},0.0
2023-01-19,10000.0,10000.0,{},0.0
2023-01-20,10000.0,10000.0,{},0.0
2023-01-23,10000.0,10000.0,{},0.0
2023-01-24,10000.0,10000.0,{},0.0
2023-01-25,10000.0,10000.0,{},0.0
2023-01-26,10000.0,10000.0,{},0.0
2023-01-27,10000.0,10000.0,{},0.0
2023-01-30,10000.0,10000.0,{},0.0
2023-01-31,10000.0,10000.0,{},0.0
2023-02-01,10000.0,10000.0,{},0.0
2023-02-02,10000.0,10000.0,{},0.0
2023-02-03,10000.0,10000.0,{},0.0
2023-02-06,10000.0,10000.0,{},0.0
2023-02-07,10000.0,10000.0,{},0.0
2023-02-08,10000.0,10000.0,{},0.0
2023-02-09,10000.0,10000.0,{},0.0
2023-02-10,10000.0,10000.0,{},0.0
2023-02-13,10000.0,10000.0,{},0.0
2023-02-14,10000.0,10000.0,{},0.0
2023-02-15,10000.0,10000.0,{},0.0
2023-02-16,10000.0,10000.0,{},0.0
2023-02-17,10000.0,10000.0,{},0.0
2023-02-21,10000.0,10000.0,{},0.0
2023-02-22,10000.0,10000.0,{},0.0
2023-02-23,10000.0,10000.0,{},0.0
2023-02-24,10000.0,10000.0,{},0.0
2023-02-27,10000.0,10000.0,{},0.0
2023-02-28,10000.0,10000.0,{},0.0
2023-03-01,10000.0,10000.0,{},0.0
2023-03-02,10000.0,10000.0,{},0.0
2023-03-03,10000.0,10000.0,{},0.0
2023-03-06,10000.0,10000.0,{},0.0
2023-03-07,10000.0,10000.0,{},0.0
2023-03-08,10000.0,10000.0,{},0.0
2023-03-09,10000.0,10000.0,{},0.0
2023-03-10,10000.0,10000.0,{},0.0
2023-03-13,10000.0,10000.0,{},0.0
2023-03-14,10000.0,10000.0,{},0.0
2023-03-15,10000.0,10000.0,{},0.0
2023-03-16,10000.0,10000.0,{},0.0
2023-03-17,10000.0,10000.0,{},0.0
2023-03-20,10000.0,10000.0,{},0.0
2023-03-21,10000.0,10000.0,{},0.0
2023-03-22,10000.0,10000.0,{},0.0
2023-03-23,10000.0,10000.0,{},0.0
2023-03-24,10000.0,10000.0,{},0.0
2023-03-27,10000.0,10000.0,{},0.0
2023-03-28,10000.0,10000.0,{},0.0
2023-03-29,10000.0,10000.0,{},0.0
2023-03-30,10000.0,10000.0,{},0.0
